EmployeeID,Age,Gender,MaritalStatus,EducationLevel,NumDependents,DistanceFromHome_km,Department,JobRole,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrentManager,YearsSinceLastPromotion,NumCompaniesWorked,TotalWorkingYears,BaseSalary_USD,StockOptionLevel,PercentSalaryHike,BonusPct,OverTime,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,ManagerRating,CompanyCultureScore,PerformanceRating,TrainingHoursLastYear,NumProjects,AbsenteeismDays,TravelFrequency,RemoteWorkPct,PeerReviewScore,Attrition
EMP00154,34,Female,Single,Master,1,17,Finance,Finance Manager,5,10,6,2,0,1,13,103147,3,5.8,10.2,No,2,3,4,2,3,3,3,31,1,3,Rarely,0,4.28,0
EMP01216,30,Female,Married,High School,0,42,HR,HR Manager,1,15,2,0,1,2,8,53155,0,10.1,9.0,No,3,3,3,5,5,4,1,61,3,6,None,0,4.08,0
EMP01247,44,Non-Binary,Married,Bachelor,1,28,Engineering,QA Engineer,1,5,0,1,1,3,24,48671,2,17.1,2.2,No,2,1,4,3,4,4,4,79,6,5,Rarely,75,4.28,0
EMP00974,41,Female,Single,Bachelor,1,47,Engineering,QA Engineer,4,8,2,3,0,1,21,90641,2,5.3,7.4,No,3,5,3,5,4,4,5,75,4,1,Frequently,75,2.96,0
EMP00734,42,Male,Single,Bachelor,2,17,Marketing,Brand Manager,3,14,4,0,3,2,18,69962,0,6.4,11.5,Yes,4,4,4,5,5,5,4,79,5,4,Rarely,25,3.15,0
EMP00513,60,Male,Married,High School,0,28,Engineering,DevOps Engineer,1,8,0,1,0,1,37,53584,0,11.8,4.9,Yes,1,2,5,4,4,4,5,77,5,4,Rarely,100,4.46,1
EMP01169,59,Female,Married,Bachelor,2,45,Finance,Finance Manager,3,3,3,1,3,2,38,81701,1,14.4,9.3,No,2,3,3,5,3,1,4,33,2,2,Frequently,50,2.25,0
EMP00408,57,Male,Single,Bachelor,0,15,Sales,Sales Rep,2,0,0,1,1,1,36,73232,2,12.9,6.8,No,4,4,3,2,2,5,4,11,7,2,Rarely,0,3.18,1
EMP01982,42,Female,Single,Master,1,2,R&D,Data Scientist,2,2,0,0,1,2,21,67744,3,11.9,4.1,No,3,3,4,5,5,4,5,56,6,1,None,75,2.63,0
EMP01069,49,Female,Married,Master,0,50,Operations,Logistics Coordinator,3,11,1,2,1,2,27,77563,1,14.0,9.0,Yes,2,4,5,4,4,3,3,69,4,1,Rarely,0,4.02,1
EMP01263,38,Male,Married,Master,2,1,Engineering,QA Engineer,4,3,3,0,0,2,14,92457,1,11.1,7.4,No,5,3,2,5,3,3,4,42,2,3,Rarely,50,2.3,0
EMP00624,26,Male,Married,Bachelor,1,45,Engineering,Tech Lead,2,3,2,0,3,0,3,60483,0,9.1,10.8,No,5,2,3,4,3,5,3,26,4,1,None,50,3.5,0
EMP01712,59,Male,Divorced,Master,2,9,Finance,Finance Manager,2,3,0,1,0,2,35,75344,2,15.0,8.7,Yes,1,5,3,3,2,2,4,6,3,4,Frequently,50,4.09,1
